concurrency,total_requests,success_count,error_count,error_rate_%,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,requests_per_sec,throughput_tokens_per_sec,input_tokens_p50,input_tokens_p90,input_tokens_p99,output_tokens_p50,output_tokens_p90,output_tokens_p99
1,20,20,0,0.0,819.15,983.35,985.43,22427.65,25349.62,26591.47,35.88,36.0,36.02,0.77,106.44,123.24,0.045,26.9,1032,1041,1043,606,686,719
2,20,20,0,0.0,21267.8,25126.53,26324.97,42457.17,48866.4,49002.31,35.98,36.18,44.4,0.76,105.7,194.24,0.048,27.08,1032,1041,1042,590,666,704
4,20,20,0,0.0,61294.21,72369.01,75037.36,79469.32,91551.05,98335.58,35.96,36.04,36.11,0.75,105.68,118.44,0.048,27.05,1036,1041,1041,567,655,721
8,20,10,10,50.0,71432.73,116213.22,116213.22,94691.07,137399.99,137399.99,35.96,36.07,36.07,0.76,105.67,121.86,0.057,13.61,1029,1037,1037,579,686,686
