concurrency,total_requests,success_count,error_count,error_rate_%,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,requests_per_sec,throughput_tokens_per_sec,input_tokens_p50,input_tokens_p90,input_tokens_p99,output_tokens_p50,output_tokens_p90,output_tokens_p99
1,20,20,0,0.0,1357.86,1782.15,3652.73,7902.07,9228.68,10057.13,12.75,14.75,14.85,0.48,49.57,53.4,0.125,63.82,299,887,999,512,512,512
2,20,20,0,0.0,1449.79,2423.6,2449.75,9736.83,13056.54,14366.43,15.75,21.22,26.9,0.6,49.74,54.2,0.202,102.28,300,902,1289,512,512,512
4,20,20,0,0.0,2427.02,3574.58,3575.54,13013.39,14159.03,14159.13,20.71,20.92,20.92,0.84,50.98,132.12,0.295,151.04,169,1068,1755,512,512,512
8,20,20,0,0.0,4326.14,4422.06,4423.73,18823.22,19100.94,19122.87,28.2,28.9,29.83,44.89,51.94,59.04,0.42,214.32,252,877,1344,512,512,512
64,20,20,0,0.0,9539.67,9596.14,9596.62,30343.42,30421.73,30422.3,40.73,40.77,40.86,49.59,55.39,64.41,0.657,336.44,299,916,1985,512,512,512
