concurrency,total_requests,success_count,error_count,error_rate_%,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,requests_per_sec,throughput_tokens_per_sec,input_tokens_p50,input_tokens_p90,input_tokens_p99,output_tokens_p50,output_tokens_p90,output_tokens_p99
1,20,20,0,0.0,974.78,1080.94,1088.2,13375.16,18704.1,45203.33,34.37,37.59,137.82,1.11,114.2,139.73,0.072,23.73,299,887,999,353,512,512
2,20,20,0,0.0,1035.52,1275.87,1525.28,18553.14,19221.54,19261.84,35.29,38.33,38.39,1.2,112.79,136.08,0.133,50.07,300,902,1289,512,512,512
4,20,20,0,0.0,1081.8,1892.66,1902.02,20207.99,20868.49,20968.68,37.54,40.31,60.42,1.24,113.0,143.83,0.209,91.48,169,1068,1755,512,512,512
8,20,20,0,0.0,2576.07,3407.89,3414.75,22871.56,23234.46,23269.13,40.26,43.45,44.08,1.27,113.21,142.25,0.308,145.68,252,877,1344,512,512,512
64,20,20,0,0.0,5402.33,7917.03,7917.77,28620.08,29287.72,29327.87,47.83,54.1,80.31,1.3,113.43,139.09,0.682,313.19,299,916,1985,512,512,512
