concurrency,total_requests,success_count,error_count,error_rate_%,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,requests_per_sec,throughput_tokens_per_sec,input_tokens_p50,input_tokens_p90,input_tokens_p99,output_tokens_p50,output_tokens_p90,output_tokens_p99
1,20,20,0,0.0,1148.36,1386.23,3698.75,13995.09,19482.3,19665.3,35.83,40.78,42.07,1.57,108.77,158.65,0.088,25.12,299,887,999,313,512,512
2,20,20,0,0.0,1215.25,1609.12,1612.41,8700.51,20160.27,20456.08,38.3,40.02,43.28,2.13,107.5,146.83,0.189,44.35,300,902,1289,189,512,512
4,20,20,0,0.0,1422.21,2214.23,2225.11,15748.34,22080.4,22180.52,42.57,47.27,48.71,2.03,109.06,175.21,0.262,75.98,169,1068,1755,339,512,512
8,20,20,0,0.0,1879.88,6871.32,6888.27,19987.07,30682.99,30851.01,47.22,58.88,59.84,1.77,110.26,425.69,0.369,129.43,252,877,1344,389,512,512
64,20,20,0,0.0,4677.19,11553.42,14034.54,26840.43,33762.64,34138.7,63.99,208.07,228.32,0.91,117.45,578.99,0.586,175.71,299,916,1985,333,512,512
