concurrency,total_requests,success_count,error_count,error_rate_%,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,requests_per_sec,throughput_tokens_per_sec,input_tokens_p50,input_tokens_p90,input_tokens_p99,output_tokens_p50,output_tokens_p90,output_tokens_p99
1,20,20,0,0.0,700.19,928.2,953.49,14756.38,18232.59,18275.25,33.97,34.24,34.84,33.63,45.32,68.3,0.083,28.01,299,887,999,412,512,512
2,20,20,0,0.0,831.75,1222.1,1295.61,15373.82,18806.93,19110.75,35.17,37.52,39.02,34.07,44.17,70.76,0.141,50.69,300,902,1289,414,512,512
4,20,20,0,0.0,1071.85,2125.1,2131.54,20202.64,24736.66,27871.98,37.33,56.2,60.62,31.2,107.76,129.69,0.197,83.0,169,1068,1755,512,512,512
8,20,20,0,0.0,2434.93,3744.5,3750.05,22727.5,23960.33,23995.94,39.56,43.4,51.95,1.06,111.75,144.9,0.315,149.43,252,877,1344,512,512,512
64,20,20,0,0.0,4267.28,8186.46,8193.53,28777.29,28808.56,28810.9,47.98,63.67,70.82,1.25,112.13,135.46,0.694,320.54,299,916,1985,512,512,512
