concurrency,total_requests,success_count,error_count,error_rate_%,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,requests_per_sec,throughput_tokens_per_sec,input_tokens_p50,input_tokens_p90,input_tokens_p99,output_tokens_p50,output_tokens_p90,output_tokens_p99
1,20,20,0,0.0,282.45,301.24,431.17,282.45,301.24,431.17,0.0,0.0,0.0,0.0,0.0,0.0,3.458,0.0,299,887,999,0,0,0
2,20,20,0,0.0,283.5,317.35,318.05,283.5,317.35,318.05,0.0,0.0,0.0,0.0,0.0,0.0,6.944,0.0,300,902,1289,0,0,0
4,20,20,0,0.0,303.12,335.69,335.86,303.12,335.69,335.86,0.0,0.0,0.0,0.0,0.0,0.0,13.113,0.0,169,1068,1755,0,0,0
8,20,20,0,0.0,314.68,355.02,355.53,314.68,355.02,355.53,0.0,0.0,0.0,0.0,0.0,0.0,21.349,0.0,252,877,1344,0,0,0
64,20,20,0,0.0,428.99,452.09,452.38,428.99,452.09,452.38,0.0,0.0,0.0,0.0,0.0,0.0,44.17,0.0,299,916,1985,0,0,0
